Competitor Number    Name                 Country              Overall Score        Extra Information
100                  Ann Sthen            UK                   12.00                Dance Style: Hip Hop | Years of Experience: 5
101                  George Beth          UK                   16.00                Dance Style: Hip Hop | Years of Experience: 2
102                  Kaith Andy           UK                   11.00                Dance Style: Hip Hop | Years of Experience: 4
103                  Rinon Grov           US                   13.00                Dance Style: Hip Hop | Years of Experience: 1
104                  Mark Do              UK                   13.00                Dance Style: Salsa | Years of Experience: 5
105                  Harry Patrick        UK                   19.00                Dance Style: Salsa | Years of Experience: 2
106                  Vicy Mathew          UK                   16.00                Dance Style: Salsa | Years of Experience: 6
107                  Monica Loy           US                   14.00                Dance Style: Jazz | Years of Experience: 4
108                  Susan Mathew         US                   14.00                Dance Style: Jazz | Years of Experience: 5
109                  Andy Stov            US                   17.00                Dance Style: Classical | Years of Experience: 6
110                  Mary Francis         UK                   21.00                Dance Style: Classical | Years of Experience: 7
111                  Jomon Vicy           UK                   28.00                Dance Style: Classical | Years of Experience: 6
112                  Catherin George      UAE                  10.00                Dance Style: Classical | Years of Experience: 1
113                  Aby Mathew           UK                   14.00                Dance Style: Classical | Years of Experience: 2
114                  Jojo Mony            UK                   16.00                Dance Style: Stuff | Years of Experience: 2
115                  Methen George        UK                   22.00                Dance Style: Stuff | Years of Experience: 4
116                  Scarlett John        UK                   15.00                Dance Style: Stuff | Years of Experience: 3
117                  Patrick Shanon       US                   28.00                Dance Style: Salsa | Years of Experience: 4
118                  Rod Stod             UK                   15.00                Dance Style: Salsa | Years of Experience: 5
119                  Lijo Willams         UK                   15.00                Dance Style: Salsa | Years of Experience: 6
200                  Junaid Mirza         UK                   22.10                Skating Style: SINGLES | Skill Level: 10
201                  George Beth          UK                   22.50                Skating Style: DANCE | Skill Level: 9
202                  Kaith Andy           UK                   18.00                Skating Style: SYNCHRONIZED | Skill Level: 8
203                  Rinon Grov           US                   16.80                Skating Style: SYNCHRONIZED | Skill Level: 7
204                  Mark Do              UK                   19.80                Skating Style: SINGLES | Skill Level: 6
205                  Harry Patrick        UK                   23.10                Skating Style: SINGLES | Skill Level: 5
206                  Vicy Mathew          UK                   24.20                Skating Style: DANCE | Skill Level: 4
207                  Monica Loy           US                   19.80                Skating Style: DANCE | Skill Level: 4
208                  Susan Mathew         US                   20.90                Skating Style: DANCE | Skill Level: 4
209                  Andy Stov            US                   23.00                Skating Style: SYNCHRONIZED | Skill Level: 3
210                  Mary Francis         UK                   28.00                Skating Style: SYNCHRONIZED | Skill Level: 2
211                  Jomon Vicy           UK                   34.00                Skating Style: DANCE | Skill Level: 1
212                  Catherin George      UAE                  11.00                Skating Style: SYNCHRONIZED | Skill Level: 1
213                  Aby Mathew           UK                   16.00                Skating Style: SYNCHRONIZED | Skill Level: 1
214                  Jojo Mony            UK                   19.80                Skating Style: DANCE | Skill Level: 5
215                  Methen George        UK                   28.60                Skating Style: SINGLES | Skill Level: 6
216                  Scarlett John        UK                   23.40                Skating Style: SINGLES | Skill Level: 10
217                  Patrick Shanon       US                   35.20                Skating Style: SYNCHRONIZED | Skill Level: 5
218                  Rod Stod             UK                   26.00                Skating Style: SINGLES | Skill Level: 10
219                  Lijo Willams         UK                   26.25                Skating Style: SYNCHRONIZED | Skill Level: 9
